v,tau,ca
29.4165740492341, 1.6391752577319583,5.5
40.04681970898963, 1.144329896907216,5.5
50.22675302443821, 0.7731958762886593,5.5
39.40807879507912, -0.3539518900343648,20.3
19.899334431967702, -0.28522336769759526,20.3
-30.534051278120558, 1.5841924398625422,20.3
-40.25409113555361, 1.9140893470790372,20.3
-50.46436464441291, 2.024054982817869,20.3
31.00384522030174, -0.6975945017182132,1024
30.0648960768533, -0.7800687285223367,1024
20.30812861687042, -0.7663230240549828,1024
19.854622567993943, -0.6701030927835054,1024
-20.0922341879687, -0.5326460481099655,1024
-20.50741578201047, -0.10652920962199364,1024
-29.80269293169306, -0.1202749140893471,1024
-30.700123915737265, 0.1546391752577314,1024
-40.92317224287484, 0.1546391752577314,1024
-40.428148034594244, 0.41580756013745646,1024
-49.69627869543558, 0.6357388316151198,1024
-70.09127607659775, 1.075601374570446,1024
-79.35301932830001, 1.350515463917525,1024
