v,tau,ca
29.388860402512478, 0, 5.5
40.13908473272656, 0.08965517241379306, 5.5
49.97916933726441, 0.20689655172413812, 5.5
40.2881040892193, 0.30344827586206913, 20.3
20.732918856556836, 0.2482758620689658, 20.3
-29.368029739776958, -0.29655172413793096, 20.3
-39.61511344699397, -0.3310344827586207, 20.3
-49.86700423022688, -0.37241379310344813, 20.3
31.196320984489148, 0.5931034482758621, 1024
20.94923727727212, 0.5586206896551725, 1024
21.471606204332772, 0.6413793103448276, 1024
31.24919882066399, 0.6689655172413794, 1024
-19.152993205999238, 0.3586206896551727, 1024
-18.76522240738369, 0.2482758620689658, 1024
-29.433726445327522, 0.27586206896551735, 1024
-39.24496859377004, 0.19999999999999996, 1024
-29.036341494680173, 0.17931034482758634, 1024
-38.39732085630048, 0.08275862068965534, 1024
-49.56415844122547, 0.0620689655172415, 1024
-69.68497628509165, -0.13793103448275845, 1024
-79.52025381361364, -0.24827586206896535, 1024

